"date","QQQ","SP500","NASDAQ","VIX","MKTRF","SMB","HML","RMW","CMA","RF","MOM","QQQ_log_return"
2021-05-04,323.896331787109,4164.66015625,13633.5,19.4799995422363,-0.89,-0.25,2,1.1,0.58,0,-0.19,-0.0181596575943583
2021-05-05,322.807342529297,4167.58984375,13582.419921875,19.1499996185303,-0.06,-0.17,1.34,0.66,0.62,0,0.29,-0.00336781846263001
2021-05-06,325.240447998047,4201.6201171875,13632.83984375,18.3899993896484,0.48,-0.54,1.2,1.24,0.6,0,-1.02,0.00750906626664616
2021-05-07,327.879547119141,4232.60009765625,13752.240234375,16.6900005340576,0.84,0.45,-0.1,-0.24,0.14,0,1.2,0.00808155776718511
2021-05-10,319.599151611328,4188.43017578125,13401.8603515625,19.6599998474121,-1.36,-1.29,1.69,1.18,0.73,0,-2.26,-0.0255787471883862
2021-05-11,319.157623291016,4152.10009765625,13389.4296875,21.8400001525879,-0.63,0.7,-0.89,-0.84,-0.07,0,0,-0.00138246170680834
2021-05-12,310.89697265625,4063.0400390625,13031.6796875,27.5900001525879,-2.34,-1.15,0.71,-0.27,0.13,0,-2.56,-0.0262235179869821
2021-05-13,313.300598144531,4112.5,13124.990234375,23.1299991607666,1.02,0.47,1.14,1.4,0.36,0,-0.16,0.00770152746929487
2021-05-14,320.217224121094,4173.85009765625,13429.98046875,18.8099994659424,1.81,0.97,-0.15,-0.25,-0.01,0,1.74,0.0218364837431233
2021-05-17,318.274719238281,4163.2900390625,13379.0498046875,19.7199993133545,-0.24,0.73,0.83,0.01,0.56,0,0.28,-0.00608468406277218
2021-05-18,316.126129150391,4127.830078125,13303.6396484375,21.3400001525879,-0.69,0.06,-0.94,-1.03,-0.43,0,-0.26,-0.00677362998012132
2021-05-19,316.489074707031,4115.68017578125,13299.740234375,22.1800003051758,-0.34,-0.52,-0.46,-0.18,-0.32,0,-0.69,0.00114744506375963
2021-05-20,322.611114501953,4159.1201171875,13535.740234375,20.6700000762939,1.15,-0.49,-1.43,-0.84,-0.48,0,0.18,0.0191588960911782
2021-05-21,320.825531005859,4155.85986328125,13470.990234375,20.1499996185303,-0.04,0.45,0.98,-0.11,-0.07,0,0.24,-0.00555015973115935
2021-05-24,326.221557617188,4197.0498046875,13661.169921875,18.3999996185303,0.99,-0.48,-0.69,0.25,-0.29,0,1.11,0.0166793168637538
2021-05-25,326.672821044922,4188.1298828125,13657.169921875,18.8400001525879,-0.3,-0.85,-1.23,0.21,-0.16,0,0.24,0.00138234763337586
